,question,image_file,agentType,a_in_b
0,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,GPT-4V,0.1
1,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,Human/Math-2-1,0.2555066079295154
2,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,Human/Math-3,0.31170886075949367
3,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,Salesforce/blip2-flan-t5-xl,0.0
4,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,Salesforce/blip2-flan-t5-xxl,0.0
5,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,Salesforce/blip2-opt-2.7b,0.0
6,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010?",ggr_item7.png,llava-hf/llava-1.5-7b-hf,0.0
7,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,GPT-4V,0.8
8,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,Human/Math-2-1,0.9229074889867841
9,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,Human/Math-3,0.9493670886075949
10,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,Salesforce/blip2-flan-t5-xl,0.0
11,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,Salesforce/blip2-flan-t5-xxl,0.0
12,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,Salesforce/blip2-opt-2.7b,0.42857142857142855
13,Approximately what percentage of people had Adeolitis in the year 2000?,ggr_item5.png,llava-hf/llava-1.5-7b-hf,0.3
14,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,GPT-4V,0.0
15,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,Human/Math-2-1,0.76431718061674
16,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,Human/Math-3,0.8433544303797469
17,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,Salesforce/blip2-flan-t5-xl,0.0
18,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,Salesforce/blip2-flan-t5-xxl,0.0
19,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,Salesforce/blip2-opt-2.7b,0.0
20,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together?",ggr_item4.png,llava-hf/llava-1.5-7b-hf,0.0
21,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,GPT-4V,1.0
22,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,Human/Math-2-1,0.8348017621145375
23,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,Human/Math-3,0.8607594936708861
24,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,Salesforce/blip2-flan-t5-xl,1.0
25,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,Salesforce/blip2-flan-t5-xxl,0.0
26,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,Salesforce/blip2-opt-2.7b,0.0
27,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected?",ggr_item12.png,llava-hf/llava-1.5-7b-hf,0.0
28,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,GPT-4V,0.0
29,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,Human/Math-2-1,0.46255506607929514
30,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,Human/Math-3,0.49683544303797467
31,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,Salesforce/blip2-flan-t5-xl,0.0
32,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,Salesforce/blip2-flan-t5-xxl,0.0
33,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,Salesforce/blip2-opt-2.7b,0.3333333333333333
34,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die?",ggr_item10.png,llava-hf/llava-1.5-7b-hf,0.0
