,question,image_file,agentType,minmax_axis_normalized_error
0,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.089
1,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.13899999999999998
2,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.173
3,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,1.156777777777778
5,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.01100000000000001
6,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.129
7,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.07257142857142858
8,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.06100000000000001
9,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.12588888888888888
11,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.089
12,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderalph_colorgrey20.png,GPT-4V,0.10899999999999999
13,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderalph_colorgrey20.png,Human/Math-2-1,0.016624999999999994
14,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderalph_colorgrey20.png,Human/Math-3,0.018333333333333323
15,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.9078571428571428
17,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.989
18,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.094
19,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.10766666666666665
20,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.0065999999999999835
21,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.06660000000000002
23,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.289
25,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,GPT-4V,0.149
