,agent_type_2,agent_type_1,jaccard_similarity
0,GPT-4V,GPT-4V,0.6529284164859002
1,GPT-4V,Human/Math-2-1,0.36034383356403227
2,GPT-4V,Human/Math-3,0.35734097351336525
3,GPT-4V,Salesforce/blip2-flan-t5-xl,0.12878787878787878
4,GPT-4V,Salesforce/blip2-flan-t5-xxl,0.22566371681415928
5,GPT-4V,llava-hf/llava-1.5-7b-hf,0.24816625916870416
6,Human/Math-2-1,GPT-4V,0.36034383356403227
7,Human/Math-2-1,Human/Math-2-1,0.6630094335538523
8,Human/Math-2-1,Human/Math-3,0.6828717036231868
9,Human/Math-2-1,Salesforce/blip2-flan-t5-xl,0.1300406730870307
10,Human/Math-2-1,Salesforce/blip2-flan-t5-xxl,0.11093804084458289
11,Human/Math-2-1,llava-hf/llava-1.5-7b-hf,0.14464257684046553
12,Human/Math-3,GPT-4V,0.35734097351336525
13,Human/Math-3,Human/Math-2-1,0.6828717036231868
14,Human/Math-3,Human/Math-3,0.7051385434294749
15,Human/Math-3,Salesforce/blip2-flan-t5-xl,0.13385355884180153
16,Human/Math-3,Salesforce/blip2-flan-t5-xxl,0.09422232756109243
17,Human/Math-3,llava-hf/llava-1.5-7b-hf,0.13452072708251603
18,Salesforce/blip2-flan-t5-xl,GPT-4V,0.12878787878787878
19,Salesforce/blip2-flan-t5-xl,Human/Math-2-1,0.1300406730870307
20,Salesforce/blip2-flan-t5-xl,Human/Math-3,0.13385355884180153
21,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xl,0.41878172588832485
22,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xxl,0.07807118254879448
23,Salesforce/blip2-flan-t5-xl,llava-hf/llava-1.5-7b-hf,0.07760814249363868
24,Salesforce/blip2-flan-t5-xxl,GPT-4V,0.22566371681415928
25,Salesforce/blip2-flan-t5-xxl,Human/Math-2-1,0.11093804084458289
26,Salesforce/blip2-flan-t5-xxl,Human/Math-3,0.09422232756109243
27,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xl,0.07807118254879448
28,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xxl,0.4280078895463511
29,Salesforce/blip2-flan-t5-xxl,llava-hf/llava-1.5-7b-hf,0.2296858071505959
30,llava-hf/llava-1.5-7b-hf,GPT-4V,0.24816625916870416
31,llava-hf/llava-1.5-7b-hf,Human/Math-2-1,0.14464257684046553
32,llava-hf/llava-1.5-7b-hf,Human/Math-3,0.13452072708251603
33,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xl,0.07760814249363868
34,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xxl,0.2296858071505959
35,llava-hf/llava-1.5-7b-hf,llava-hf/llava-1.5-7b-hf,0.6336405529953917
