,agent_type_2,agent_type_1,jaccard_similarity
0,GPT-4V,GPT-4V,0.011111111111111112
1,GPT-4V,Human/Math-2-1,0.1025
2,GPT-4V,Human/Math-3,0.09166666666666666
3,GPT-4V,Salesforce/blip2-flan-t5-xl,0.3333333333333333
4,GPT-4V,Salesforce/blip2-flan-t5-xxl,0.3333333333333333
5,GPT-4V,llava-hf/llava-1.5-7b-hf,0.3333333333333333
6,Human/Math-2-1,GPT-4V,0.1025
7,Human/Math-2-1,Human/Math-2-1,0.05555555555555555
8,Human/Math-2-1,Human/Math-3,0.0475
9,Human/Math-2-1,Salesforce/blip2-flan-t5-xl,0.325
10,Human/Math-2-1,Salesforce/blip2-flan-t5-xxl,0.33
11,Human/Math-2-1,llava-hf/llava-1.5-7b-hf,0.375
12,Human/Math-3,GPT-4V,0.09166666666666666
13,Human/Math-3,Human/Math-2-1,0.0475
14,Human/Math-3,Human/Math-3,0.03999999999999997
15,Human/Math-3,Salesforce/blip2-flan-t5-xl,0.3
16,Human/Math-3,Salesforce/blip2-flan-t5-xxl,0.3066666666666667
17,Human/Math-3,llava-hf/llava-1.5-7b-hf,0.39999999999999997
18,Salesforce/blip2-flan-t5-xl,GPT-4V,0.3333333333333333
19,Salesforce/blip2-flan-t5-xl,Human/Math-2-1,0.325
20,Salesforce/blip2-flan-t5-xl,Human/Math-3,0.3
21,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xl,0.13333333333333333
22,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xxl,0.26666666666666666
23,Salesforce/blip2-flan-t5-xl,llava-hf/llava-1.5-7b-hf,0.4
24,Salesforce/blip2-flan-t5-xxl,GPT-4V,0.3333333333333333
25,Salesforce/blip2-flan-t5-xxl,Human/Math-2-1,0.33
26,Salesforce/blip2-flan-t5-xxl,Human/Math-3,0.3066666666666667
27,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xl,0.26666666666666666
28,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xxl,0.23333333333333334
29,Salesforce/blip2-flan-t5-xxl,llava-hf/llava-1.5-7b-hf,0.45
30,llava-hf/llava-1.5-7b-hf,GPT-4V,0.3333333333333333
31,llava-hf/llava-1.5-7b-hf,Human/Math-2-1,0.375
32,llava-hf/llava-1.5-7b-hf,Human/Math-3,0.39999999999999997
33,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xl,0.4
34,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xxl,0.45
35,llava-hf/llava-1.5-7b-hf,llava-hf/llava-1.5-7b-hf,0.07999999999999995
