,agent_type_2,agent_type_1,jaccard_similarity
0,GPT-4V,GPT-4V,0.9629629629629629
1,GPT-4V,Human/Math-2-1,0.5761328529846694
2,GPT-4V,Human/Math-3,0.5891426378697707
3,GPT-4V,Salesforce/blip2-flan-t5-xl,0.4819197896120973
4,GPT-4V,Salesforce/blip2-flan-t5-xxl,0.461
5,GPT-4V,llava-hf/llava-1.5-7b-hf,0.39659601798330124
6,Human/Math-2-1,GPT-4V,0.5761328529846694
7,Human/Math-2-1,Human/Math-2-1,0.6696373221275502
8,Human/Math-2-1,Human/Math-3,0.6804695119137334
9,Human/Math-2-1,Salesforce/blip2-flan-t5-xl,0.3707514175648184
10,Human/Math-2-1,Salesforce/blip2-flan-t5-xxl,0.3743864560248485
11,Human/Math-2-1,llava-hf/llava-1.5-7b-hf,0.4481951212739667
12,Human/Math-3,GPT-4V,0.5891426378697707
13,Human/Math-3,Human/Math-2-1,0.6804695119137334
14,Human/Math-3,Human/Math-3,0.6939581750723663
15,Human/Math-3,Salesforce/blip2-flan-t5-xl,0.3676358720984432
16,Human/Math-3,Salesforce/blip2-flan-t5-xxl,0.374460650682347
17,Human/Math-3,llava-hf/llava-1.5-7b-hf,0.4433148939987441
18,Salesforce/blip2-flan-t5-xl,GPT-4V,0.4819197896120973
19,Salesforce/blip2-flan-t5-xl,Human/Math-2-1,0.3707514175648184
20,Salesforce/blip2-flan-t5-xl,Human/Math-3,0.3676358720984432
21,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xl,0.9459180666077217
22,Salesforce/blip2-flan-t5-xl,Salesforce/blip2-flan-t5-xxl,0.5832061639736685
23,Salesforce/blip2-flan-t5-xl,llava-hf/llava-1.5-7b-hf,0.5808061002178649
24,Salesforce/blip2-flan-t5-xxl,GPT-4V,0.461
25,Salesforce/blip2-flan-t5-xxl,Human/Math-2-1,0.3743864560248485
26,Salesforce/blip2-flan-t5-xxl,Human/Math-3,0.374460650682347
27,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xl,0.5832061639736685
28,Salesforce/blip2-flan-t5-xxl,Salesforce/blip2-flan-t5-xxl,0.9637872778022625
29,Salesforce/blip2-flan-t5-xxl,llava-hf/llava-1.5-7b-hf,0.5508733782706385
30,llava-hf/llava-1.5-7b-hf,GPT-4V,0.39659601798330124
31,llava-hf/llava-1.5-7b-hf,Human/Math-2-1,0.4481951212739667
32,llava-hf/llava-1.5-7b-hf,Human/Math-3,0.4433148939987441
33,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xl,0.5808061002178649
34,llava-hf/llava-1.5-7b-hf,Salesforce/blip2-flan-t5-xxl,0.5508733782706385
35,llava-hf/llava-1.5-7b-hf,llava-hf/llava-1.5-7b-hf,0.907603074772886
