,Unnamed: 0,question,correct_answer,image_file,image_link,task_category,chart_type,text_input_type,dataset,x1,num_bars,facet,num_facets,reorder,description,min_label,max_label
0,0,"On average, what is the rating of Action movies?",4.87,movies_x1genre_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,movies,genre,4,none,1,alph,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
1,1,"On average, how many miles per hour are storms categorized as tropical storms?",43.82,storms_x1status_facetname_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetname_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,storms,status,3,name,4,alph,"This data visualization is intended to show information about: wind speeds (mph) of different storms categorized at different levels. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",0,90.0
2,2,"On average, how many orders of large pepperoni pizzas are made?",5.0,pizza_x1name_facetsize_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,pizza,name,4,size,3,alph,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
3,3,"On average, how long does it take women from DC to complete the race?",1.75,race_x1state_facetsex_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,race,state,3,sex,2,alph,"This data visualization is intended to show information about: marathon times of runners from different states across the United States. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",0,2.5
4,4,"On average, how much further do American Airline flights departing from JFK travel compared to when they are departing from LaGuardia?",300.64,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,flights,carrier,4,none,1,large_to_small,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
5,5,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",206.56,star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,star,class_type,3,grade,4,large_to_small,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
6,6,"On average, what is the education level of people who report being pretty happy?",13.49,happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,happiness,happy,3,region,4,large_to_small,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
7,7,"On average, what was the injury severity level of drivers in the 1990s?",1.71,accidents_x1decade_facetoccRole_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1decade_facetoccRole_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,accidents,decade,2,occRole,2,large_to_small,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
8,8,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,0.42,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,pizza,name,4,size,3,large_to_small,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
9,9,"On average, how long does it take women to complete the race?",1.74,race_x1state_facetsex_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,race,state,3,sex,2,alph,"This data visualization is intended to show information about: marathon times of runners from different states across the United States. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",0,2.5
